Current	Voltage	Int_Temp	Ext_Temp	H_Temp	Dt_cycle	Wor_State	Short_cir	over_load	Ovr_Heat	Blk_Shaft
1.13	5.69	27.00	26.50	29.50	44.00	1	0	1	0	0
1.12	5.69	27.00	26.50	29.50	44.00	1	0	1	0	0
1.09	5.70	27.00	26.50	29.50	44.00	1	0	1	0	0
1.12	5.58	27.00	26.50	29.50	44.00	1	0	1	0	0
1.30	5.07	27.50	26.50	30.00	44.00	1	0	1	0	0
1.40	4.72	27.50	26.50	30.00	44.00	1	0	1	0	0
1.47	4.51	27.50	26.50	30.00	44.00	1	0	1	0	0
1.58	4.26	27.50	26.50	30.00	44.00	1	0	1	0	0
1.72	4.01	27.00	26.50	30.00	44.00	1	0	1	0	0
1.69	3.98	27.50	26.50	30.00	44.00	1	0	1	0	0
1.73	3.98	27.50	26.50	30.00	44.00	1	0	1	0	0
1.63	4.14	27.50	26.50	30.00	44.00	1	0	1	0	0
1.38	4.76	27.50	26.50	30.00	44.00	1	0	1	0	0
1.26	5.21	27.50	26.50	30.00	44.00	1	0	1	0	0
1.35	5.08	27.50	26.50	30.00	44.00	1	0	1	0	0
1.43	4.45	27.50	26.50	30.00	44.00	1	0	1	0	0
1.68	4.03	27.50	26.50	30.00	44.00	1	0	1	0	0
1.75	3.91	27.50	26.50	30.00	44.00	1	0	1	0	0
1.75	3.88	27.50	26.50	30.00	44.00	1	0	1	0	0
1.75	3.85	27.50	26.50	30.00	44.00	1	0	1	0	0
1.74	3.86	27.50	26.50	30.50	44.00	1	0	1	0	0
1.76	3.85	27.50	26.50	30.50	44.00	1	0	1	0	0
1.77	3.86	27.50	26.50	30.50	44.00	1	0	1	0	0
1.78	3.91	27.50	26.50	30.50	44.00	1	0	1	0	0
1.77	3.88	27.50	26.50	30.50	44.00	1	0	1	0	0
1.75	3.92	27.50	26.50	30.50	44.00	1	0	1	0	0
1.73	3.88	27.50	26.50	30.50	44.00	1	0	1	0	0
1.78	3.91	27.50	26.50	30.50	44.00	1	0	1	0	0
1.67	4.14	27.50	26.50	30.50	44.00	1	0	1	0	0
1.40	4.72	27.50	26.50	30.50	44.00	1	0	1	0	0
1.34	5.05	27.50	26.50	30.50	44.00	1	0	1	0	0
1.30	5.20	27.50	26.50	30.50	44.00	1	0	1	0	0
1.26	5.32	27.50	26.50	31.00	44.00	1	0	1	0	0
1.40	4.82	27.50	26.50	31.00	44.00	1	0	1	0	0
1.61	4.22	27.50	26.50	31.00	44.00	1	0	1	0	0
1.78	3.87	27.50	26.50	31.00	44.00	1	0	1	0	0
1.93	3.72	27.50	27.00	31.00	44.00	1	0	1	0	0
1.97	3.73	27.50	27.00	31.00	44.00	1	0	1	0	0
1.92	3.74	27.50	27.00	31.00	44.00	1	0	1	0	0
1.84	3.71	27.50	27.00	31.00	44.00	1	0	1	0	0
1.82	3.71	27.50	27.00	31.00	44.00	1	0	1	0	0
1.93	3.70	27.50	27.00	31.00	44.00	1	0	1	0	0
1.85	3.74	27.50	27.00	31.50	44.00	1	0	1	0	0
1.91	3.74	27.50	27.00	31.50	44.00	1	0	1	0	0
1.93	3.74	27.50	27.00	31.50	44.00	1	0	1	0	0
1.98	3.74	27.50	27.00	31.50	44.00	1	0	1	0	0
1.97	3.75	27.50	27.00	31.50	44.00	1	0	1	0	0
1.89	3.77	27.50	27.00	31.50	44.00	1	0	1	0	0
1.87	3.76	27.50	27.00	31.50	44.00	1	0	1	0	0
1.81	3.74	27.50	27.00	31.50	44.00	1	0	1	0	0
1.82	3.76	27.50	27.00	31.50	44.00	1	0	1	0	0
1.88	3.76	27.50	27.00	32.00	44.00	1	0	1	0	0
1.83	3.73	27.50	27.00	32.00	44.00	1	0	1	0	0
1.87	3.75	27.50	27.00	32.00	44.00	1	0	1	0	0
1.83	3.75	27.50	27.00	32.00	44.00	1	0	1	0	0
1.72	3.76	27.50	27.00	32.00	44.00	1	0	1	0	0
1.80	3.76	27.50	27.00	32.00	44.00	1	0	1	0	0
1.86	3.77	27.50	27.00	32.00	44.00	1	0	1	0	0
1.89	3.72	27.50	27.00	32.00	44.00	1	0	1	0	0
1.87	3.76	27.50	27.00	32.00	44.00	1	0	1	0	0
1.85	3.73	27.50	27.00	32.50	44.00	1	0	1	0	0
1.81	3.75	27.50	27.00	32.50	44.00	1	0	1	0	0
1.84	3.73	27.50	27.00	32.50	44.00	1	0	1	0	0
1.87	3.76	27.50	27.00	32.50	44.00	1	0	1	0	0
1.82	3.76	27.50	27.00	32.50	44.00	1	0	1	0	0
1.80	3.76	27.50	27.00	32.50	44.00	1	0	1	0	0
1.76	3.76	27.50	27.00	32.50	44.00	1	0	1	0	0
1.84	3.78	27.50	27.00	33.00	44.00	1	0	1	0	0
1.83	3.78	27.50	27.00	33.00	44.00	1	0	1	0	0
1.80	3.76	27.50	27.00	33.00	44.00	1	0	1	0	0
1.69	3.75	27.50	27.00	33.00	44.00	1	0	1	0	0
1.79	3.75	27.50	27.00	33.00	44.00	1	0	1	0	0
1.78	3.76	27.50	27.00	33.00	44.00	1	0	1	0	0
1.80	3.75	27.50	27.00	33.00	44.00	1	0	1	0	0
1.80	3.79	27.50	27.00	33.00	44.00	1	0	1	0	0
1.80	3.82	27.50	27.00	33.50	44.00	1	0	1	0	0
1.77	3.81	27.50	27.00	33.50	44.00	1	0	1	0	0
1.70	3.92	27.50	27.00	33.50	44.00	1	0	1	0	0
1.54	4.36	27.50	27.00	33.50	44.00	1	0	1	0	0
1.31	4.99	27.50	27.00	33.50	44.00	1	0	1	0	0
1.18	5.38	27.50	27.00	33.50	44.00	1	0	1	0	0
1.17	5.57	27.50	27.00	33.50	44.00	1	0	1	0	0
1.15	5.68	27.50	27.00	33.50	44.00	1	0	1	0	0
1.14	5.70	27.50	27.00	34.00	44.00	1	0	1	0	0
1.20	5.52	27.50	27.00	34.00	44.00	1	0	1	0	0
1.16	5.23	27.50	27.00	34.00	44.00	1	0	1	0	0
1.33	4.86	27.50	27.00	34.00	44.00	1	0	1	0	0
1.49	4.52	27.50	27.00	34.00	44.00	1	0	1	0	0
1.61	4.20	27.50	27.00	34.00	44.00	1	0	1	0	0
1.73	4.00	27.50	27.00	34.00	44.00	1	0	1	0	0
1.76	3.89	27.50	27.00	34.50	44.00	1	0	1	0	0
1.75	3.82	27.50	27.50	34.50	44.00	1	0	1	0	0
1.81	3.80	27.50	27.50	34.50	44.00	1	0	1	0	0
1.78	3.75	27.50	27.50	34.50	44.00	1	0	1	0	0
1.82	3.73	27.50	27.50	34.50	44.00	1	0	1	0	0
1.82	3.74	27.50	27.50	34.50	44.00	1	0	1	0	0
1.85	3.74	27.50	27.50	34.50	44.00	1	0	1	0	0
1.84	3.75	27.50	27.50	34.50	44.00	1	0	1	0	0
1.84	3.76	27.50	27.50	35.00	44.00	1	0	1	0	0
1.83	3.77	27.50	27.50	35.00	44.00	1	0	1	0	0
1.64	3.78	27.50	27.50	35.00	44.00	1	0	1	0	0
1.80	3.79	27.50	27.50	35.00	44.00	1	0	1	0	0
1.72	3.93	27.50	27.50	35.00	44.00	1	0	1	0	0
1.40	4.64	27.50	27.50	35.00	44.00	1	0	1	0	0
1.29	5.04	27.50	27.50	35.00	44.00	1	0	1	0	0
1.36	5.14	27.50	27.50	35.00	44.00	1	0	1	0	0
1.32	5.24	27.50	27.50	35.50	44.00	1	0	1	0	0
1.34	5.34	27.50	27.50	35.50	44.00	1	0	1	0	0
1.34	5.39	27.50	27.50	35.50	44.00	1	0	1	0	0
1.36	5.35	27.50	27.50	35.50	44.00	1	0	1	0	0
1.34	5.36	27.50	27.50	35.50	44.00	1	0	1	0	0
1.43	5.23	27.50	27.50	35.50	44.00	1	0	1	0	0
1.68	4.61	27.50	27.50	35.50	44.00	1	0	1	0	0
1.79	4.23	27.50	27.50	35.50	44.00	1	0	1	0	0
1.88	4.04	27.50	27.50	36.00	44.00	1	0	1	0	0
1.74	3.96	27.50	27.50	36.00	44.00	1	0	1	0	0
1.89	3.92	27.50	27.50	36.00	44.00	1	0	1	0	0
1.90	3.94	27.50	27.50	36.00	44.00	1	0	1	0	0
1.88	3.96	27.50	27.50	36.00	44.00	1	0	1	0	0
1.87	3.98	27.50	27.50	36.00	44.00	1	0	1	0	0
1.69	4.34	27.50	27.50	36.00	44.00	1	0	1	0	0
1.49	5.01	27.50	27.50	36.00	44.00	1	0	1	0	0
1.38	5.40	27.50	27.50	36.50	44.00	1	0	1	0	0
1.36	5.60	27.50	27.50	36.50	44.00	1	0	1	0	0
1.31	5.72	27.50	27.50	36.50	44.00	1	0	1	0	0
1.29	5.81	27.50	27.50	36.50	44.00	1	0	1	0	0
1.26	5.85	27.50	27.50	36.50	44.00	1	0	1	0	0
1.20	5.86	27.50	27.50	36.50	44.00	1	0	1	0	0
1.27	5.87	27.50	27.50	36.50	44.00	1	0	1	0	0
1.25	5.86	28.00	27.50	36.50	44.00	1	0	1	0	0
1.12	5.85	28.00	27.50	37.00	44.00	1	0	1	0	0
1.26	5.86	27.50	27.50	37.00	44.00	1	0	1	0	0
1.27	5.87	28.00	27.50	37.00	44.00	1	0	1	0	0
1.26	5.87	28.00	27.50	37.00	44.00	1	0	1	0	0
1.25	5.88	28.00	27.50	37.00	44.00	1	0	1	0	0
1.25	5.88	28.00	27.50	37.00	44.00	1	0	1	0	0
1.25	5.85	28.00	27.50	37.00	44.00	1	0	1	0	0
1.27	5.86	28.00	27.50	37.00	42.00	1	0	1	0	0
1.25	5.85	28.00	27.50	37.00	40.00	1	0	1	0	0
1.25	5.75	28.00	27.50	37.50	38.00	1	0	1	0	0
1.17	5.58	28.00	27.50	37.50	37.00	1	0	1	0	0
1.12	5.31	28.00	27.50	37.50	36.00	1	0	1	0	0
1.12	5.08	28.00	27.50	37.50	36.00	1	0	1	0	0
1.12	4.90	28.00	27.50	37.50	35.00	1	0	1	0	0
1.14	4.76	28.00	27.50	37.50	35.00	1	0	1	0	0
1.01	4.64	28.00	27.50	37.50	35.00	1	0	1	0	0
1.17	4.60	28.00	27.50	37.50	35.00	1	0	1	0	0
1.16	4.57	28.00	27.50	37.50	35.00	1	0	1	0	0
1.15	4.56	28.00	27.50	37.50	35.00	1	0	1	0	0
1.09	4.54	28.00	27.50	38.00	35.00	1	0	1	0	0
1.07	4.53	28.00	27.50	38.00	35.00	1	0	1	0	0
1.06	4.53	28.00	27.50	38.00	35.00	1	0	1	0	0
1.08	4.53	28.00	27.50	38.00	35.00	1	0	1	0	0
1.08	4.54	28.00	27.50	38.00	35.00	1	0	1	0	0
1.08	4.54	28.00	27.50	38.00	35.00	1	0	1	0	0
1.09	4.54	28.00	27.50	38.00	35.00	1	0	1	0	0
1.09	4.54	28.00	27.50	38.00	35.00	1	0	1	0	0
1.09	4.54	28.00	27.50	38.00	35.00	1	0	1	0	0
1.06	4.54	28.00	27.50	38.00	35.00	1	0	1	0	0
1.10	4.54	28.00	27.50	38.00	35.00	1	0	1	0	0
0.94	4.52	28.00	27.50	38.50	35.00	1	0	1	0	0
1.29	4.53	28.00	27.50	38.50	35.00	1	0	1	0	0
1.22	4.49	28.00	27.50	38.50	35.00	1	0	1	0	0
1.21	4.48	28.00	27.50	38.50	35.00	1	0	1	0	0
1.24	4.34	28.00	27.50	38.50	35.00	1	0	1	0	0
1.26	4.13	28.00	27.50	38.50	35.00	1	0	1	0	0
1.31	3.87	28.00	27.50	38.50	36.00	1	0	1	0	0
1.35	3.69	28.00	27.50	38.50	35.00	1	0	1	0	0
1.41	3.60	28.00	27.50	38.50	35.00	1	0	1	0	0
1.35	3.48	28.00	27.50	38.50	35.00	1	0	1	0	0
1.42	3.43	28.00	27.50	38.50	35.00	1	0	1	0	0
1.43	3.39	28.00	27.50	38.50	35.00	1	0	1	0	0
1.40	3.34	28.00	27.50	38.50	35.00	1	0	1	0	0
1.37	3.33	28.00	27.50	38.50	35.00	1	0	1	0	0
1.41	3.32	28.00	27.50	39.00	35.00	1	0	1	0	0
1.22	3.30	28.00	27.50	39.00	35.00	1	0	1	0	0
1.42	3.30	28.00	27.50	39.00	36.00	1	0	1	0	0
1.43	3.29	28.00	27.50	39.00	35.00	1	0	1	0	0
1.50	3.32	28.00	27.50	39.00	35.00	1	0	1	0	0
1.42	3.29	28.00	27.50	39.00	35.00	1	0	1	0	0
1.47	3.28	28.00	27.50	39.00	35.00	1	0	1	0	0
1.45	3.27	28.00	27.50	39.00	35.00	1	0	1	0	0
1.45	3.26	28.00	27.50	39.00	35.00	1	0	1	0	0
1.45	3.26	28.00	27.50	39.00	35.00	1	0	1	0	0
1.45	3.26	28.00	27.50	39.00	35.00	1	0	1	0	0
1.43	3.24	28.00	27.50	39.00	35.00	1	0	1	0	0
1.46	3.17	28.00	27.50	39.00	35.00	1	0	1	0	0
1.49	3.12	28.00	27.50	39.00	35.00	1	0	1	0	0
1.68	3.10	28.00	27.50	39.50	35.00	1	0	1	0	0
1.51	3.12	28.00	27.50	39.50	35.00	1	0	1	0	0
1.48	3.12	28.00	27.50	39.50	35.00	1	0	1	0	0
1.55	3.12	28.00	27.50	39.50	35.00	1	0	1	0	0
1.82	3.12	28.00	27.50	39.50	35.00	1	0	1	0	0
1.73	3.11	28.00	27.50	39.50	35.00	1	0	1	0	0
1.70	3.09	28.00	27.50	39.50	35.00	1	0	1	0	0
1.63	3.09	28.00	27.50	39.50	36.00	1	0	1	0	0
1.78	3.05	28.00	28.00	39.50	35.00	1	0	1	0	0
1.79	3.07	28.00	27.50	39.50	35.00	1	0	1	0	0
1.69	3.10	28.00	28.00	39.50	35.00	1	0	1	0	0
1.70	3.10	28.00	28.00	39.50	35.00	1	0	1	0	0
1.69	3.10	28.00	28.00	39.50	35.00	1	0	1	0	0
1.71	3.10	28.00	28.00	40.00	35.00	1	0	1	0	0
1.69	3.10	28.00	28.00	40.00	35.00	1	0	1	0	0
1.69	3.10	28.00	28.00	40.00	36.00	1	0	1	0	0
1.81	2.99	28.00	28.00	40.00	35.00	1	0	1	0	0
1.71	3.00	28.00	28.00	40.00	35.00	1	0	1	0	0
1.75	3.00	28.00	28.00	40.00	35.00	1	0	1	0	0
1.71	3.09	28.00	28.00	40.00	35.00	1	0	1	0	0
1.71	3.09	28.00	28.00	40.00	35.00	1	0	1	0	0
1.71	3.09	28.00	28.00	40.00	35.00	1	0	1	0	0
1.73	3.09	28.00	28.00	40.00	35.00	1	0	1	0	0
1.73	3.09	28.00	28.00	40.00	35.00	1	0	1	0	0
1.55	3.09	28.00	28.00	40.00	35.00	1	0	1	0	0
1.56	3.09	28.00	28.00	40.50	35.00	1	0	1	0	0
1.58	3.09	28.00	28.00	40.50	35.00	1	0	1	0	0
1.58	3.09	28.00	28.00	40.50	35.00	1	0	1	0	0
1.63	3.10	28.00	28.00	40.50	35.00	1	0	1	0	0
1.43	3.12	28.00	28.00	40.50	35.00	1	0	1	0	0
1.29	3.49	28.00	28.00	40.50	35.00	1	0	1	0	0
1.20	3.86	28.00	28.00	40.50	35.00	1	0	1	0	0
0.94	4.16	28.00	28.00	40.50	35.00	1	0	1	0	0
1.08	4.31	28.00	28.00	40.50	35.00	1	0	1	0	0
1.05	4.34	28.00	28.00	40.50	35.00	1	0	1	0	0
1.08	4.33	28.00	28.00	40.50	35.00	1	0	1	0	0
1.09	4.32	28.00	28.00	40.50	35.00	1	0	1	0	0
1.12	4.19	28.00	28.00	40.50	35.00	1	0	1	0	0
1.18	3.90	28.00	28.00	41.00	35.00	1	0	1	0	0
1.22	3.68	28.00	28.00	41.00	35.00	1	0	1	0	0
1.28	3.48	28.00	28.00	41.00	35.00	1	0	1	0	0
1.33	3.34	28.00	28.00	41.00	35.00	1	0	1	0	0
1.33	3.26	28.00	28.00	41.00	35.00	1	0	1	0	0
1.38	3.20	28.00	28.00	41.00	35.00	1	0	1	0	0
1.37	3.19	28.00	28.00	41.00	35.00	1	0	1	0	0
1.40	3.20	28.00	28.00	41.00	35.00	1	0	1	0	0
1.38	3.19	28.00	28.00	41.00	35.00	1	0	1	0	0
1.21	3.17	28.00	28.00	41.00	35.00	1	0	1	0	0
1.38	3.18	28.00	28.00	41.00	35.00	1	0	1	0	0
1.20	3.57	28.00	28.00	41.00	35.00	1	0	1	0	0
1.14	4.02	28.00	28.00	41.50	35.00	1	0	1	0	0
1.08	4.28	28.00	28.00	41.50	35.00	1	0	1	0	0
1.06	4.42	28.00	28.00	41.50	35.00	1	0	1	0	0
1.06	4.49	28.00	28.00	41.50	35.00	1	0	1	0	0
1.06	4.53	28.00	28.00	41.50	35.00	1	0	1	0	0
1.00	4.56	28.00	28.00	41.50	35.00	1	0	1	0	0
1.00	4.57	28.00	28.00	41.50	35.00	1	0	1	0	0
1.04	4.57	28.00	28.00	41.50	35.00	1	0	1	0	0
1.03	4.57	28.00	28.00	41.50	35.00	1	0	1	0	0
1.03	4.58	28.50	28.00	41.50	35.00	1	0	1	0	0
1.06	4.58	28.00	28.00	41.50	35.00	1	0	1	0	0
1.07	4.57	28.00	28.00	41.50	35.00	1	0	1	0	0
0.90	4.56	28.00	28.00	42.00	35.00	1	0	1	0	0
1.04	4.58	28.50	28.00	42.00	35.00	1	0	1	0	0
1.03	4.57	28.50	28.00	42.00	35.00	1	0	1	0	0
1.02	4.57	28.50	28.00	42.00	35.00	1	0	1	0	0
1.03	4.58	28.50	28.00	42.00	35.00	1	0	1	0	0
1.04	4.57	28.50	28.00	42.00	35.00	1	0	1	0	0
1.04	4.55	28.50	28.00	42.00	35.00	1	0	1	0	0
1.05	4.48	28.50	28.00	42.00	35.00	1	0	1	0	0
1.07	4.38	28.50	28.00	42.00	35.00	1	0	1	0	0
1.09	4.27	28.50	28.00	42.00	35.00	1	0	1	0	0
1.13	4.10	28.50	28.00	42.00	35.00	1	0	1	0	0
1.19	3.92	28.50	28.00	42.00	35.00	1	0	1	0	0
1.19	3.81	28.50	28.00	42.00	35.00	1	0	1	0	0
1.20	3.71	28.50	28.00	42.00	35.00	1	0	1	0	0
1.22	3.59	28.50	28.00	42.50	36.00	1	0	1	0	0
1.06	3.42	28.50	28.00	42.50	36.00	1	0	1	0	0
1.26	3.35	28.50	28.00	42.50	36.00	1	0	1	0	0
1.31	3.37	28.50	28.00	42.50	37.00	1	0	1	0	0
1.33	3.32	28.50	28.00	42.50	38.00	1	0	1	0	0
1.36	3.36	28.50	28.00	42.50	38.00	1	0	1	0	0
1.40	3.41	28.50	28.00	42.50	38.00	1	0	1	0	0
1.39	3.40	28.50	28.00	42.50	40.00	1	0	1	0	0
1.45	3.46	28.50	28.00	42.50	41.00	1	0	1	0	0
1.47	3.57	28.50	28.00	42.50	41.00	1	0	1	0	0
1.53	3.68	28.50	28.00	42.50	42.00	1	0	1	0	0
1.52	3.73	28.50	28.00	42.50	42.00	1	0	1	0	0
1.57	3.80	28.50	28.00	42.50	42.00	1	0	1	0	0
1.54	3.82	28.50	28.00	42.50	42.00	1	0	1	0	0
1.58	3.82	28.50	28.00	42.50	42.00	1	0	1	0	0
1.58	3.84	28.50	28.00	42.50	42.00	1	0	1	0	0
1.46	3.82	28.50	28.00	43.00	42.00	1	0	1	0	0
1.61	3.75	28.50	28.00	43.00	42.00	1	0	1	0	0
1.63	3.63	28.50	28.00	43.00	42.00	1	0	1	0	0
1.59	3.64	28.50	28.00	43.00	42.00	1	0	1	0	0
1.61	3.68	28.50	28.00	43.00	42.00	1	0	1	0	0
1.58	3.71	28.50	28.00	43.00	42.00	1	0	1	0	0
1.61	3.76	28.50	28.00	43.00	42.00	1	0	1	0	0
1.58	3.73	28.50	28.00	43.00	43.00	1	0	1	0	0
1.62	3.73	28.50	28.00	43.00	44.00	1	0	1	0	0
1.66	3.72	28.50	28.00	43.00	45.00	1	0	1	0	0
1.73	3.78	28.50	28.00	43.00	46.00	1	0	1	0	0
1.75	3.84	28.50	28.00	43.00	47.00	1	0	1	0	0
1.79	3.93	28.50	28.00	43.00	49.00	1	0	1	0	0
1.83	4.07	28.50	28.00	43.50	50.00	1	0	1	0	0
1.88	4.23	28.50	28.00	43.50	50.00	1	0	1	0	0
1.94	4.39	28.50	28.00	43.50	50.00	1	0	1	0	0
1.93	4.43	28.50	28.00	43.50	50.00	1	0	1	0	0
1.91	4.44	28.50	28.00	43.50	50.00	1	0	1	0	0
1.86	4.47	28.50	28.00	43.50	50.00	1	0	1	0	0
1.87	4.48	28.50	28.00	43.50	50.00	1	0	1	0	0
1.88	4.49	28.50	28.50	43.50	50.00	1	0	1	0	0
1.88	4.50	28.50	28.00	43.50	50.00	1	0	1	0	0
1.88	4.51	28.50	28.50	43.50	50.00	1	0	1	0	0
1.87	4.52	28.50	28.50	43.50	50.00	1	0	1	0	0
1.88	4.51	28.50	28.50	44.00	49.00	1	0	1	0	0
1.85	4.57	28.50	28.50	44.00	49.00	1	0	1	0	0
1.73	4.59	28.50	28.50	44.00	48.00	1	0	1	0	0
1.69	4.59	28.50	28.50	44.00	48.00	1	0	1	0	0
1.62	4.72	28.50	28.50	44.00	47.00	1	0	1	0	0
1.47	5.03	28.50	28.50	44.00	47.00	1	0	1	0	0
1.27	5.47	28.50	28.50	44.00	47.00	1	0	1	0	0
1.16	5.84	28.50	28.50	44.00	47.00	1	0	1	0	0
1.10	6.03	28.50	28.50	44.00	47.00	1	0	1	0	0
1.23	11.68	66.50	55.50	60.50	99.00	1	0	0	1	0
1.17	11.69	66.50	55.50	60.50	99.00	1	0	0	1	0
