Current	Voltage	Int_Temp	Ext_Temp	H_Temp	Dt_cycle	Wor_State	Short_cir	over_load	Ovr_Heat	Blk_Shaft	total_faults	Power	Power_per_Duty	Resistance	Conductance	Temp_Diff_Int_Ext	Temp_Diff_H_Ext	Temp_Diff_Int_H	Temp_Ratio_Int_Ext	Thermal_Stress	Heat_Generation	Current_per_Voltage	Voltage_per_Current	Current_x_Temp	Voltage_x_Duty	Power_x_Temp	Current_rolling_mean	Current_rolling_std	Current_rolling_max	Current_rolling_min	Voltage_rolling_mean	Voltage_rolling_std	Voltage_rolling_max	Voltage_rolling_min	Int_Temp_rolling_mean	Int_Temp_rolling_std	Int_Temp_rolling_max	Int_Temp_rolling_min	Ext_Temp_rolling_mean	Ext_Temp_rolling_std	Ext_Temp_rolling_max	Ext_Temp_rolling_min	H_Temp_rolling_mean	H_Temp_rolling_std	H_Temp_rolling_max	H_Temp_rolling_min	Dt_cycle_rolling_mean	Dt_cycle_rolling_std	Dt_cycle_rolling_max	Dt_cycle_rolling_min
1.49	0.57	29.0	28.5	37.5	21.0	1	1	0	0	0	1	0.8492999999999999	0.04044285521700689	0.38255007882545045	2.6140305017008743	0.5	9.0	-8.5	1.0175438239458308	10.5	0.42464999999999997	2.6140305017008743	0.38255007882545045	43.21	11.969999999999999	31.84875	1.501	0.016633299933166208	1.53	1.48	0.583	0.03945461527713413	0.69	0.55	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	36.9	0.774596669241486	37.5	36.0	21.0	0.0	21.0	21.0
1.38	0.57	29.0	28.5	37.5	21.0	1	1	0	0	0	1	0.7865999999999999	0.037457141073469466	0.41304317895421816	2.421048384125642	0.5	9.0	-8.5	1.0175438239458308	10.5	0.3932999999999999	2.421048384125642	0.41304317895421816	40.019999999999996	11.969999999999999	29.497499999999995	1.486	0.03949683531626297	1.52	1.38	0.584	0.03893013685508381	0.69	0.55	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	37.05	0.724568837309475	37.5	36.0	21.0	0.0	21.0	21.0
1.51	0.57	29.0	28.5	37.5	21.0	1	1	0	0	0	1	0.8606999999999999	0.04098571233401369	0.37748319371973926	2.6491181594418256	0.5	9.0	-8.5	1.0175438239458308	10.5	0.43034999999999995	2.6491181594418256	0.37748319371973926	43.79	11.969999999999999	32.27625	1.489	0.04012480529547775	1.52	1.38	0.586	0.03747591819348052	0.69	0.56	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	37.2	0.63245553203368	37.5	36.0	21.0	0.0	21.0	21.0
1.47	0.58	29.0	28.5	37.5	21.0	1	1	0	0	0	1	0.8525999999999999	0.040599998066666754	0.3945575547227519	2.534478388830364	0.5	9.0	-8.5	1.0175438239458308	10.5	0.42629999999999996	2.534478388830364	0.3945575547227519	42.63	12.18	31.972499999999997	1.4860000000000002	0.040331955899344435	1.52	1.38	0.588	0.03645392830531284	0.69	0.57	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	37.35	0.4743416490252639	37.5	36.0	21.0	0.0	21.0	21.0
1.48	0.57	29.0	28.5	37.5	21.0	1	1	0	0	0	1	0.8435999999999999	0.040171426658503484	0.3851348749088683	2.5964866728303986	0.5	9.0	-8.5	1.0175438239458308	10.5	0.42179999999999995	2.5964866728303986	0.3851348749088683	42.92	11.969999999999999	31.634999999999998	1.483	0.0394546152771341	1.52	1.38	0.586	0.03687817782917155	0.69	0.57	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	37.5	0.0	37.5	37.5	21.0	0.0	21.0	21.0
1.49	0.61	29.0	28.5	37.5	21.0	1	1	0	0	0	1	0.9088999999999999	0.04328095031995474	0.40939569839214873	2.4426189465263173	0.5	9.0	-8.5	1.0175438239458308	10.5	0.45444999999999997	2.4426189465263173	0.40939569839214873	43.21	12.81	34.083749999999995	1.4809999999999999	0.03842742076521221	1.52	1.38	0.578	0.012292725943057295	0.61	0.57	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	37.5	0.0	37.5	37.5	21.0	0.0	21.0	21.0
1.5	0.59	29.0	28.5	37.5	21.0	1	1	0	0	0	1	0.885	0.042142855136054515	0.3933330711112859	2.5423685722566574	0.5	9.0	-8.5	1.0175438239458308	10.5	0.4425	2.5423685722566574	0.3933330711112859	43.5	12.389999999999999	33.1875	1.4789999999999999	0.03665151201974249	1.51	1.38	0.5799999999999998	0.012472191289246558	0.61	0.57	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	37.5	0.0	37.5	37.5	21.0	0.0	21.0	21.0
1.5	0.59	29.0	28.5	35.5	21.0	1	1	0	0	0	1	0.885	0.042142855136054515	0.3933330711112859	2.5423685722566574	0.5	7.0	-6.5	1.0175438239458308	10.5	0.4425	2.5423685722566574	0.3933330711112859	43.5	12.389999999999999	31.4175	1.4809999999999999	0.0372528895225293	1.51	1.38	0.5809999999999998	0.012866839377079265	0.61	0.57	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	37.3	0.6324555320336753	37.5	35.5	21.0	0.0	21.0	21.0
1.49	0.57	29.0	28.5	35.5	21.0	1	1	0	0	0	1	0.8492999999999999	0.04044285521700689	0.38255007882545045	2.6140305017008743	0.5	7.0	-6.5	1.0175438239458308	10.5	0.42464999999999997	2.6140305017008743	0.38255007882545045	43.21	11.969999999999999	30.150149999999996	1.481	0.0372528895225293	1.51	1.38	0.58	0.01333333333333342	0.61	0.57	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	37.1	0.843274042711566	37.5	35.5	21.0	0.0	21.0	21.0
0.39	2.31	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.9009	0.07507499374375053	5.9230617357391395	0.1688310957441144	0.5	2.0	-1.5	1.0188678860804572	6.0	0.45045	0.1688310957441144	5.9230617357391395	10.530000000000001	27.72	25.67565	1.3699999999999999	0.34628183768588133	1.51	0.39	0.7529999999999999	0.5472364916357257	2.31	0.57	28.8	0.632455532033676	29.0	27.0	28.3	0.632455532033676	28.5	26.5	36.2	2.830390628713835	37.5	28.5	20.1	2.8460498941515415	21.0	12.0
0.37	2.19	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.8103	0.06752499437291715	5.918902921883995	0.16894969454351846	0.5	2.0	-1.5	1.0188678860804572	6.0	0.40515	0.16894969454351846	5.918902921883995	9.99	26.28	23.09355	1.258	0.46420302071878455	1.51	0.37	0.9149999999999998	0.7042923950872803	2.31	0.57	28.6	0.8432740427115681	29.0	27.0	28.1	0.8432740427115681	28.5	26.5	35.3	3.6757463338907232	37.5	28.5	19.2	3.794733192202055	21.0	12.0
0.36	2.07	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.7451999999999999	0.06209999482500042	5.749984027822145	0.17391295946233842	0.5	2.0	-1.5	1.0188678860804572	6.0	0.37259999999999993	0.17391295946233842	5.749984027822145	9.719999999999999	24.839999999999996	21.238199999999996	1.1560000000000001	0.5402509704860426	1.51	0.36	1.065	0.7784778595295936	2.31	0.57	28.4	0.9660917830792967	29.0	27.0	27.9	0.9660917830792967	28.5	26.5	34.4	4.148627617792549	37.5	28.5	18.3	4.347413023856832	21.0	12.0
0.35	1.98	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.693	0.0577499951875004	5.657126693923733	0.17676758749111743	0.5	2.0	-1.5	1.0188678860804572	6.0	0.3465	0.17676758749111743	5.657126693923733	9.45	23.759999999999998	19.7505	1.04	0.5789454013789017	1.5	0.35	1.206	0.806063135106536	2.31	0.57	28.2	1.0327955589886457	29.0	27.0	27.7	1.0327955589886457	28.5	26.5	33.5	4.371625682867994	37.5	28.5	17.4	4.6475800154489	21.0	12.0
0.38	1.89	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.7182	0.059849995012500413	4.9736711219181	0.2010580946782568	0.5	2.0	-1.5	1.0188678860804572	6.0	0.3591	0.2010580946782568	4.9736711219181	10.26	22.68	20.4687	0.9309999999999998	0.5914661632098848	1.5	0.35	1.3370000000000002	0.7994449463360327	2.31	0.57	28.0	1.0540925533894616	29.0	27.0	27.5	1.0540925533894616	28.5	26.5	32.6	4.383048152953722	37.5	28.5	16.5	4.743416490252569	21.0	12.0
0.38	1.81	27.0	26.5	28.5	12.0	1	0	0	0	0	0	0.6878000000000001	0.05731666189027818	4.763145360143789	0.2099446353897042	0.5	2.0	-1.5	1.0188678860804572	6.0	0.34390000000000004	0.2099446353897042	4.763145360143789	10.26	21.72	19.602300000000003	0.821	0.5802001570339516	1.5	0.35	1.4609999999999999	0.7625753150418069	2.31	0.57	27.8	1.032795558988647	29.0	27.0	27.3	1.032795558988647	28.5	26.5	31.7	4.184627953726712	37.5	28.5	15.6	4.6475800154489	21.0	12.0
